3 2313 4662
0 0 2.8189133301e+03 5.0723609924e+01
1 0 2.2487695313e+03 1.9696472168e+01
0 1 5.1980961914e+03 1.5414886475e+02
1 1 4.7891577148e+03 1.7325773239e+01
0 2 5.2745976563e+03 1.8633087158e+02
1 2 4.8572958984e+03 4.7179470062e+01
0 3 5.3069497070e+03 2.0663186646e+02
1 3 4.8859418945e+03 6.6410697937e+01
0 4 5.2852163086e+03 2.3798117065e+02
1 4 4.8677016602e+03 9.9854362488e+01
0 5 5.4159165039e+03 2.3959330750e+02
1 5 4.9835986328e+03 9.5076286316e+01
0 6 5.3713081055e+03 2.6230334473e+02
1 6 4.9437768555e+03 1.2083154297e+02
0 7 4.9349394531e+03 2.8470779419e+02
1 7 4.5613149414e+03 1.6134509277e+02
0 8 5.1691713867e+03 3.0312908936e+02
1 8 4.7666899414e+03 1.7089826965e+02
0 9 4.9100498047e+03 2.9273306274e+02
1 9 4.5402353516e+03 1.7050904846e+02
0 10 4.9386484375e+03 3.0639331055e+02
1 10 4.5650903320e+03 1.8329583740e+02
0 11 5.0165581055e+03 3.1442486572e+02
1 11 4.6316801758e+03 1.8919506836e+02
0 12 5.0108320313e+03 3.1103799438e+02
1 12 4.6268442383e+03 1.8606701660e+02
0 13 4.9792690430e+03 3.1216091919e+02
1 13 4.6009003906e+03 1.8713815308e+02
0 14 5.2973471680e+03 3.0554547119e+02
1 14 4.8798354492e+03 1.6778617859e+02
0 15 4.9223833008e+03 3.1196517944e+02
1 15 4.5503876953e+03 1.8950842285e+02
0 16 5.1071879883e+03 3.1802133179e+02
1 16 4.7133164063e+03 1.8800256348e+02
0 17 5.0418515625e+03 3.2935412598e+02
1 17 4.6559648438e+03 2.0241191101e+02
0 18 5.0234853516e+03 3.2238922119e+02
1 18 4.6393066406e+03 1.9585192871e+02
0 19 5.0510024414e+03 3.2103192139e+02
1 19 4.6638666992e+03 1.9372563171e+02
0 20 5.2443857422e+03 3.4315429688e+02
1 20 4.8332885742e+03 2.0852095032e+02
0 21 5.2599003906e+03 3.6038775635e+02
1 21 4.8481030273e+03 2.2543966675e+02
0 22 5.2157231445e+03 3.4394042969e+02
1 22 4.8081918945e+03 2.1082643127e+02
0 23 4.9539594727e+03 3.4770162964e+02
1 23 4.5800639648e+03 2.2458389282e+02
0 24 5.0677358398e+03 3.6016293335e+02
1 24 4.6793085938e+03 2.3296353149e+02
0 25 4.9129926758e+03 3.4959481812e+02
1 25 4.5434394531e+03 2.2828994751e+02
0 26 5.0335014648e+03 3.5368002319e+02
1 26 4.6499194336e+03 2.2678698730e+02
0 27 5.3742270508e+03 3.6693661499e+02
1 27 4.9489077148e+03 2.2727572632e+02
0 28 5.2711962891e+03 3.7022055054e+02
1 28 4.8583247070e+03 2.3497000122e+02
0 29 5.0960249023e+03 3.6792733765e+02
1 29 4.7047226563e+03 2.3960704041e+02
0 30 5.0244458008e+03 3.6818988037e+02
1 30 4.6410019531e+03 2.4315295410e+02
0 31 5.2718427734e+03 3.8421423340e+02
1 31 4.8588398438e+03 2.4883666992e+02
0 32 4.9950644531e+03 3.9916867065e+02
1 32 4.6172421875e+03 2.7558416748e+02
0 33 4.8027270508e+03 3.9323553467e+02
1 33 4.4487592773e+03 2.7716650391e+02
0 34 5.2952221680e+03 3.9568728638e+02
1 34 4.8799267578e+03 2.5994305420e+02
